number	value	params_cnn_channel_1	params_cnn_channel_2	params_cnn_channel_3	params_cnn_channel_4	params_cnn_kernel_1	params_cnn_kernel_2	params_dense	params_dropout_l	params_lr	params_max_kernel	params_max_stride	params_optimizer
2	0.6587623290447123	400	400	900	100	16	11	850	0.3122574888844884	0.0001275765377681303	5	3	Adam
58	0.6922160943246447	200	600	400	800	7	10	850	0.21582304456783402	0.00011638630928669237	5	3	Adam
0	0.6958629795410941	800	100	900	400	13	10	950	0.40973031646063063	0.0006629340563973161	4	3	Adam
44	0.699836599125944	600	700	500	600	9	15	750	0.30340386505137246	4.9716473908343974e-05	5	2	Adam
96	0.7041311688438631	200	800	400	800	9	13	750	0.3828372509914319	6.236441167853709e-05	6	2	Adam
46	0.709085546775897	700	600	400	700	6	13	700	0.2589652642276691	5.5812823944018326e-05	5	3	Adam
4	0.7102528550134618	100	1000	300	800	12	9	850	0.36940847742585214	3.872661358782474e-05	5	2	Adam
50	0.7115939335172313	700	200	300	700	12	15	500	0.20062506594221052	3.754962170942683e-05	6	3	Adam
51	0.7127563225088261	500	800	600	300	10	12	900	0.34830041166972364	6.561617060162727e-05	6	4	Adam
15	0.7129591575411477	400	800	600	300	11	12	1000	0.35455395444289317	7.093979834177381e-05	6	5	Adam
61	0.7139715495922561	300	700	600	500	9	11	800	0.34424685456357734	8.107766480942341e-05	6	4	Adam
21	0.7146961746176479	300	800	600	300	11	12	1000	0.35265162124279176	6.671315483228796e-05	6	5	Adam
53	0.7156376302648889	300	700	600	500	9	11	800	0.32699987379334067	8.242227085335918e-05	6	4	Adam
37	0.7158831179477917	600	500	500	600	10	13	700	0.32751627585354326	4.971360917082743e-05	5	4	Adam
72	0.7159094448605845	400	700	500	500	9	12	850	0.31952630459706594	7.475963949163392e-05	6	4	Adam
86	0.715913591259761	300	1000	300	700	7	11	800	0.3658030886462843	0.00013385076451482886	6	3	Adam
55	0.7164384913335349	200	600	400	500	9	9	750	0.2833394274783545	8.807206756358199e-05	6	3	Adam
63	0.7165648531968678	300	800	500	400	10	8	800	0.32617071671282283	8.53669742108622e-05	6	4	Adam
43	0.7172031563475672	600	700	500	600	9	14	750	0.30084868736917825	5.187583954685354e-05	5	3	Adam
91	0.7197865911060609	200	700	400	600	9	10	750	0.3406562081237465	8.566984398055344e-05	6	3	Adam
85	0.7204976333902801	200	700	300	700	7	10	750	0.3529723247560394	7.526867792420505e-05	6	3	Adam
80	0.7221029691668729	300	800	300	700	7	8	800	0.3943046862276066	0.00010755458177927523	6	3	Adam
1	0.7223347850043762	200	400	300	900	10	13	1000	0.3609690250255728	4.563116067438948e-05	5	4	Adam
34	0.7224041874826701	400	700	500	300	9	11	850	0.31896097379016536	4.686697181925184e-05	6	4	Adam
3	0.7229729050017744	900	700	800	300	10	10	750	0.29035232024516777	1.806291212342984e-05	6	2	Adam
75	0.7241911738572465	200	700	400	700	8	12	800	0.34169389699141767	0.00010355452770290894	6	4	Adam
77	0.7282324853739315	200	800	300	700	8	12	800	0.3383853884993823	7.516575407561909e-05	6	4	Adam
